bar;BarКis a purpose-built commercial establishment that sells alcoholic drinks to be consumed on the premises. They are characterised by a noisy and vibrant atmosphere, similar to a party and usually don't sell food.;
bbq;BBQКorКBarbecueКis a permanently built grill for cooking food, which is most typically used outdoors by the public. For example these may be found in city parks or at beaches;
biergarten;BiergartenКorКbeer gardenКis an open-air area where alcoholic beverages along with food is prepared and served.;
cafe;CafeКis generally an informal place that offers casual meals and beverages typically, the focus is on coffee or tea. Also known as aКcoffeehouse/shop,КbistroКorКsidewalk cafe.;
drinking_water;Drinking waterКis a place where humans can obtain potable water for consumption. Typically, the water is used for only drinking.;
fast_food;Fast food restaurantК;
food_court;An area with several different restaurant food counters and a shared eating area. Commonly found in malls, airports, etc.;
ice_cream;Ice cream shop or ice cream parlour. A place that sells ice cream and frozen yoghurt over the counter;
pub;A place selling beer and other alcoholic drinks may also provide food or accommodation (UK).;
restaurant;Restaurant;
college;Campus or buildings of an institute of Further Education (aka continuing education);
driving_school;Driving School which offers motor vehicle driving lessons;
kindergarten;For children too young for a regular school (also known as preschool, playschool or nursery school), in some countries including afternoon supervision of primary school children.;
language_school;Language School: an educational institution where one studies a foreign language.;
library;A public library (municipal, university, Й) to borrow books from.;
toy_library;A place to borrow games and toys, or play with them on site.;
music_school;A music school, an educational institution specialized in the study, training, and research of music.;
school;School and grounds - primary, middle and seconday schools;
university;An university campus: an institute of higher education;
bicycle_parking;Parking for bicycles;
bicycle_repair_station;General tools for self-service bicycle repairs, usually on the roadside no service;
bicycle_rental;Rent a bicycle;
boat_rental;Rent a Boat;
boat_sharing;Share a Boat;
bus_station;NaN;
car_rental;Rent a car;
car_sharing;Share a car;
car_wash;Wash a car;
vehicle_inspection;Government vehicle inspection;
charging_station;Charging facility for electric vehicles;
ferry_terminal;Ferry terminal/stop. A place where people/cars/etc. can board and leave a ferry.;
fuel;Petrol station gas station marine fue;
grit_bin;A container that holds grit or a mixture of salt and grit.;
motorcycle_parking;Parking for motorcycles;
parking;Car park. Nodes and areas (without access tag) will get a parking symbol. Areas will be coloured.;
parking_entrance;An entrance or exit to an underground or multi-storey parking facility.;
parking_space;A single parking space.;
taxi;A place where taxis wait for passengers.;
atm;ATM or cash point: a device that provides the clients of a financial institution with access to financial transactions.;
bank;Bank or credit union: a financial establishment where customers can deposit and withdraw money, take loans, make investments and transfer funds.;
bureau_de_change;Bureau de change, money changer, currency exchange, Wechsel, cambio Р a place to change foreign bank notes and travellers cheques.;
baby_hatch;A place where a baby can be, out of necessity, anonymously left to be safely cared for and perhaps adopted.;
clinic;A medium-sized medical facility or health centre.;
dentist;A dentist practice / surgery.;
doctors;A doctor's practice / surgery.;
hospital;A hospital providing in-patient medical treatment.;
nursing_home;NaN;
pharmacy;a shop where a pharmacist sells medications;
social_facility;A facility that provides social services: group & nursing homes, workshops for the disabled, homeless shelters, etc.;
veterinary;A place where a veterinary surgeon, also known as a veterinarian or vet, practices.;
arts_centre;A venue where a variety of arts are performed or conducted;
brothel;An establishment specifically dedicated to prostitution;
casino;A gambling venue with at least one table game(e.g. roulette, blackjack) that takes bets on sporting and other events at agreed upon odds.;
cinema;A place where films are shown (US: movie theater);
community_centre;A place mostly used for local events, festivities and group activities including special interest and special age groups. .;
fountain;A fountain for cultural / decorational / recreational purposes.;
gambling;A place for gambling;
nightclub;"A place to drink and dance (nightclub). The German word is ""Disco"" or ""Discothek"". Please don't confuse this with the German ""Nachtclub""К";
planetarium;A planetarium.;
public_bookcase;A street furniture containing books. Take one or leave one.;
social_centre;A place for free and not-for-profit activities.;
stripclub;A place that offers striptease or lapdancing;
studio;TV radio or recording studio;
swingerclub;A club where people meet to have a party and group sex.;
theatre;A theatre or opera house where live performances occur, such as plays, musicals and formal concerts.К;
